215 gradeable prompts in /root/ClaudeBenchmarkONSTIGRules/glm/../benchmark/dataset.jsonl
Resuming: 2 already done, 213 remaining.
vLLM server is up.
[3/215] RHEL-08-030650 aide_check_audit_tools: extracted 8494 chars (fenced=False, think=False)
[4/215] RHEL-08-010360 aide_scan_notification: extracted 8281 chars (fenced=True, think=False)
[5/215] RHEL-08-040310 aide_verify_acls: extracted 8166 chars (fenced=False, think=False)
[6/215] RHEL-08-040300 aide_verify_ext_attributes: extracted 7651 chars (fenced=False, think=False)
[7/215] None enable_fips_mode: extracted 8579 chars (fenced=False, think=False)
[8/215] RHEL-08-010297 configure_crypto_policy: extracted 255 chars (fenced=True, think=False)
[9/215] None configure_gnutls_tls_crypto_policy: extracted 8563 chars (fenced=False, think=False)
[10/215] None harden_sshd_ciphers_opensshserver_conf_crypto_policy: extracted 293 chars (fenced=True, think=False)
[11/215] None harden_sshd_macs_opensshserver_conf_crypto_policy: extracted 8476 chars (fenced=False, think=False)
[12/215] RHEL-08-020032 dconf_gnome_disable_user_list: extracted 8057 chars (fenced=False, think=False)
[13/215] RHEL-08-020050 dconf_gnome_lock_screen_on_smartcard_removal: extracted 277 chars (fenced=True, think=False)
[14/215] RHEL-08-010820 gnome_gdm_disable_automatic_login: extracted 8758 chars (fenced=False, think=False)
[15/215] RHEL-08-020060 dconf_gnome_screensaver_idle_delay: extracted 8736 chars (fenced=False, think=False)
[16/215] RHEL-08-020031 dconf_gnome_screensaver_lock_delay: extracted 500 chars (fenced=True, think=False)
[17/215] RHEL-08-020030 dconf_gnome_screensaver_lock_enabled: extracted 8636 chars (fenced=False, think=False)
[18/215] RHEL-08-020082 dconf_gnome_screensaver_lock_locked: extracted 9283 chars (fenced=False, think=False)
[19/215] RHEL-08-020080 dconf_gnome_screensaver_user_locks: extracted 8558 chars (fenced=False, think=False)
[20/215] RHEL-08-020081 dconf_gnome_session_idle_user_locks: extracted 8659 chars (fenced=False, think=False)
[21/215] RHEL-08-040171 dconf_gnome_disable_ctrlaltdel_reboot: extracted 158 chars (fenced=True, think=False)
[22/215] RHEL-08-010384 sudo_require_reauthentication: extracted 8930 chars (fenced=False, think=False)
[23/215] RHEL-08-010383 sudoers_validate_passwd: extracted 9607 chars (fenced=False, think=False)
[24/215] RHEL-08-010472 package_rng-tools_installed: extracted 233 chars (fenced=True, think=False)
[25/215] RHEL-08-040370 package_gssproxy_removed: extracted 146 chars (fenced=True, think=False)
[26/215] RHEL-08-040380 package_iprutils_removed: extracted 79 chars (fenced=True, think=False)
[27/215] RHEL-08-040001 package_libreport-plugin-rhtsupport_removed: extracted 47 chars (fenced=True, think=False)
[28/215] RHEL-08-040390 package_tuned_removed: extracted 89 chars (fenced=True, think=False)
[29/215] RHEL-08-010371 ensure_gpgcheck_local_packages: extracted 7827 chars (fenced=True, think=False)
[30/215] needed_rules enable_authselect: extracted 9900 chars (fenced=False, think=False)
[31/215] RHEL-08-010060 banner_etc_issue: extracted 9122 chars (fenced=False, think=False)
[32/215] RHEL-08-010049 dconf_gnome_banner_enabled: extracted 8475 chars (fenced=False, think=False)
[33/215] RHEL-08-010050 dconf_gnome_login_banner_text: extracted 9411 chars (fenced=False, think=False)
[34/215] RHEL-08-020026 account_password_pam_faillock_password_auth: extracted 8904 chars (fenced=False, think=False)
[35/215] RHEL-08-020025 account_password_pam_faillock_system_auth: extracted 9012 chars (fenced=False, think=False)
[36/215] RHEL-08-020021 accounts_passwords_pam_faillock_audit: extracted 9150 chars (fenced=False, think=False)
[37/215] RHEL-08-020011 accounts_passwords_pam_faillock_deny: extracted 8760 chars (fenced=False, think=False)
[38/215] RHEL-08-020023 accounts_passwords_pam_faillock_deny_root: extracted 9305 chars (fenced=False, think=False)
[39/215] RHEL-08-020017 accounts_passwords_pam_faillock_dir: extracted 7554 chars (fenced=False, think=False)
[40/215] RHEL-08-020013 accounts_passwords_pam_faillock_interval: extracted 8850 chars (fenced=False, think=False)
[41/215] RHEL-08-020019 accounts_passwords_pam_faillock_silent: extracted 7984 chars (fenced=False, think=False)
[42/215] RHEL-08-020015 accounts_passwords_pam_faillock_unlock_time: extracted 9512 chars (fenced=False, think=False)
[43/215] RHEL-08-020130 accounts_password_pam_dcredit: extracted 7894 chars (fenced=False, think=False)
[44/215] RHEL-08-020300 accounts_password_pam_dictcheck: extracted 8749 chars (fenced=False, think=False)
[45/215] RHEL-08-020170 accounts_password_pam_difok: extracted 8642 chars (fenced=False, think=False)
[46/215] RHEL-08-020120 accounts_password_pam_lcredit: extracted 8047 chars (fenced=False, think=False)
[47/215] RHEL-08-020140 accounts_password_pam_maxclassrepeat: extracted 8102 chars (fenced=False, think=False)
[48/215] RHEL-08-020150 accounts_password_pam_maxrepeat: extracted 8306 chars (fenced=False, think=False)
[49/215] RHEL-08-020160 accounts_password_pam_minclass: extracted 8238 chars (fenced=False, think=False)
[50/215] RHEL-08-020230 accounts_password_pam_minlen: extracted 8513 chars (fenced=False, think=False)
[51/215] RHEL-08-020280 accounts_password_pam_ocredit: extracted 8057 chars (fenced=False, think=False)
[52/215] RHEL-08-020110 accounts_password_pam_ucredit: extracted 7717 chars (fenced=False, think=False)
[53/215] RHEL-08-010130 set_password_hashing_min_rounds_logindefs: extracted 8318 chars (fenced=False, think=False)
[54/215] RHEL-08-040180 service_debug-shell_disabled: extracted 9965 chars (fenced=False, think=False)
[55/215] RHEL-08-040172 disable_ctrlaltdel_burstaction: extracted 9034 chars (fenced=False, think=False)
[56/215] RHEL-08-040170 disable_ctrlaltdel_reboot: extracted 141 chars (fenced=True, think=False)
[57/215] RHEL-08-020035 logind_session_timeout: extracted 8634 chars (fenced=False, think=False)
[58/215] RHEL-08-010410 package_opensc_installed: extracted 86 chars (fenced=True, think=False)
[59/215] RHEL-08-020260 account_disable_post_pw_expiration: extracted 8963 chars (fenced=False, think=False)
[60/215] RHEL-08-020200 accounts_maximum_age_login_defs: extracted 8353 chars (fenced=False, think=False)
[61/215] RHEL-08-020190 accounts_minimum_age_login_defs: extracted 7128 chars (fenced=False, think=False)
[62/215] RHEL-08-020231 accounts_password_minlen_login_defs: extracted 8268 chars (fenced=False, think=False)
[63/215] RHEL-08-020210 accounts_password_set_max_life_existing: extracted 8301 chars (fenced=False, think=False)
[64/215] RHEL-08-020180 accounts_password_set_min_life_existing: extracted 8434 chars (fenced=False, think=False)
[65/215] RHEL-08-020331 no_empty_passwords: extracted 8489 chars (fenced=False, think=False)
[66/215] RHEL-08-020310 accounts_logon_fail_delay: extracted 8881 chars (fenced=False, think=False)
[67/215] RHEL-08-020024 accounts_max_concurrent_login_sessions: extracted 8870 chars (fenced=False, think=False)
[68/215] RHEL-08-010741 accounts_users_home_files_groupownership: extracted 299 chars (fenced=True, think=False)
[69/215] RHEL-08-010731 accounts_users_home_files_permissions: extracted 8070 chars (fenced=False, think=False)
[70/215] RHEL-08-010770 file_permission_user_init_files_root: extracted 7481 chars (fenced=False, think=False)
[71/215] RHEL-08-020353 accounts_umask_etc_bashrc: extracted 8327 chars (fenced=False, think=False)
[72/215] RHEL-08-020353 accounts_umask_etc_csh_cshrc: extracted 8336 chars (fenced=False, think=False)
[73/215] RHEL-08-020351 accounts_umask_etc_login_defs: extracted 152 chars (fenced=True, think=False)
